"stratum","set","set_name","rarity","selection_hash","printing_id","collector_number","name","mana_cost","type_line","oracle_text","layout","power","toughness","colors","standard_legality","stratum_rank"
"TMT-common","TMT","Teenage Mutant Ninja Turtles","common","004ad277c403291a58f059253e628b32beb775e92717f56373f1aedec0a7edc3","a83a70ba-448e-45f3-b23b-6f38af54811f","111","Zog, Triceraton Castaway","4R","Legendary Creature — Dinosaur Soldier","Reach, trample
When Zog enters, target creature can't block this turn.
Mountaincycling {2} ({2}, Discard this card: Search your library for a Mountain card, reveal it, put it into your hand, then shuffle.)","normal","5","4","R","legal","1"
"TMT-common","TMT","Teenage Mutant Ninja Turtles","common","031700f1fc0fc8a6457c1134d67615b3d22dee943f765e01ffccaa7eca9e9c43","683cfef0-f164-4db8-b83f-79eb804e50ae","37","Donatello, Turtle Techie","3U","Legendary Creature — Mutant Ninja Turtle","When Donatello enters, if you control an artifact, draw a card.","normal","3","4","U","legal","2"
"TMT-common","TMT","Teenage Mutant Ninja Turtles","common","03beeeeae70459d9f847a669e3e01c182ebc4165c1a7fae3aa1be68cac8cf216","2dbe9207-06e8-4837-8227-0f960490771b","97","Mutant Town Musicians","2R","Creature — Mutant Bard Performer","Trample
Alliance — Whenever another creature you control enters, this creature gets +1/+0 until end of turn.","normal","2","4","R","legal","3"
"TMT-common","TMT","Teenage Mutant Ninja Turtles","common","03cf881c567993ed64cdf1988766fec7ded5fb4952d4f19de54761b56bb2fe29","3fdec16f-77f5-4792-9698-b9099a204028","82","Stomped by the Foot","1B","Instant","Kicker—Sacrifice an artifact or creature. (You may sacrifice an artifact or creature in addition to any other costs as you cast this spell.)
Target creature gets -2/-2 until end of turn. If this spell was kicked, that creature gets -5/-5 until end of turn instead.","normal","","","B","legal","4"
"TMT-common","TMT","Teenage Mutant Ninja Turtles","common","07db5c02515509a5470c43e1d6067bf497efbfa6c557ef073758ce0d12f9ece2","375c91a3-53c4-4f2d-bf7b-2c79a219d3ae","164","Punk Frogs","3{G/U}{G/U}","Creature — Frog Mutant Rebel","Ward {3} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {3}.)","normal","4","5","UG","legal","5"
"TMT-common","TMT","Teenage Mutant Ninja Turtles","common","13102a8e0f79c2aa78847ffa9c11b69d9768722ddf719a50c357becf7a820923","1c244fc2-70f0-4149-b0d2-d49fc6bac2b0","183","Dimension X","","Land","This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {R} or {W}.","normal","","","","legal","6"
"TMT-common","TMT","Teenage Mutant Ninja Turtles","common","14ed8ad6c4b24ec38c395e727bfbb6d0c1e5373481ac42da2b6f8f722785cbdd","52e99505-17dc-4051-99f6-e23559fc6c95","52","Return to the Sewers","3U","Instant","Target creature's owner puts it on their choice of the top or bottom of their library. You create a Mutagen token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Put a +1/+1 counter on target creature. Activate only as a sorcery."")","normal","","","U","legal","7"
"TMT-common","TMT","Teenage Mutant Ninja Turtles","common","17e5b74deff7c4c6b22f0bf4cc391ba9a27a9bfabc1a88b30921a57096376e8d","8b1982ea-686b-4acd-b677-47571430efb0","3","April O'Neil, Kunoichi Trainee","1W","Legendary Creature — Human Ninja","When April O'Neil enters, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)
April O'Neil can't be blocked by creatures with power 3 or greater.","normal","2","2","W","legal","8"
"TMT-common","TMT","Teenage Mutant Ninja Turtles","common","1e1b823bf9786b0ce68981e098472346d5b4cae3b5186a08e28b4768fb99fb46","735b540b-b472-46fa-a232-d444cabf6c4c","8","Hamato Guardian Stance","W","Instant","Target creature gets +1/+3 and gains flying until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom.)","normal","","","W","legal","9"
"TMT-common","TMT","Teenage Mutant Ninja Turtles","common","2b7a8311d30810ba000d714a592442f155b636b99eaf9e15d2c4e3425d108bbe","ff26f7ff-7f70-4204-9b48-de9e21dc89ec","64","Insectoid Exterminator","2B","Creature — Insect Mutant","Flying
Disappear — At the beginning of your end step, if a permanent left the battlefield under your control this turn, scry 1. (Look at the top card of your library. You may put that card on the bottom.)","normal","2","2","B","legal","10"
